MATCH: phishing_mails/183 -> similarity=441.00, yara_score=0.00, total=441.00
MATCH: phishing_mails/184 -> similarity=665.00, yara_score=0.00, total=665.00
MATCH: phishing_mails/185 -> similarity=513.00, yara_score=0.00, total=513.00
MATCH: phishing_mails/186 -> similarity=664.00, yara_score=0.00, total=664.00
MATCH: phishing_mails/187 -> similarity=909.00, yara_score=0.00, total=909.00
MATCH: phishing_mails/188 -> similarity=727.00, yara_score=0.00, total=727.00
MATCH: phishing_mails/189 -> similarity=477.00, yara_score=0.00, total=477.00
MATCH: phishing_mails/190 -> similarity=706.00, yara_score=0.00, total=706.00
MATCH: phishing_mails/191 -> similarity=647.00, yara_score=0.00, total=647.00
MATCH: phishing_mails/192 -> similarity=600.00, yara_score=0.00, total=600.00
MATCH: phishing_mails/193 -> similarity=1293.00, yara_score=0.00, total=1293.00
MATCH: phishing_mails/194 -> similarity=1299.00, yara_score=0.00, total=1299.00
MATCH: phishing_mails/195 -> similarity=1282.00, yara_score=0.00, total=1282.00
MATCH: phishing_mails/196 -> similarity=669.00, yara_score=0.00, total=669.00
MATCH: phishing_mails/197 -> similarity=663.00, yara_score=0.00, total=663.00
MATCH: phishing_mails/198 -> similarity=689.00, yara_score=0.00, total=689.00
MATCH: phishing_mails/199 -> similarity=532.00, yara_score=0.00, total=532.00
MATCH: phishing_mails/200 -> similarity=492.00, yara_score=0.00, total=492.00
MATCH: phishing_mails/201 -> similarity=651.00, yara_score=0.00, total=651.00
MATCH: phishing_mails/202 -> similarity=356.00, yara_score=0.00, total=356.00
MATCH: phishing_mails/203 -> similarity=681.00, yara_score=0.00, total=681.00
MATCH: phishing_mails/204 -> similarity=667.00, yara_score=0.00, total=667.00
MATCH: phishing_mails/205 -> similarity=462.00, yara_score=0.00, total=462.00
MATCH: phishing_mails/206 -> similarity=503.00, yara_score=0.00, total=503.00
MATCH: phishing_mails/207 -> similarity=700.00, yara_score=0.00, total=700.00
MATCH: phishing_mails/208 -> similarity=516.00, yara_score=0.00, total=516.00
MATCH: phishing_mails/209 -> similarity=1057.00, yara_score=0.00, total=1057.00
MATCH: phishing_mails/210 -> similarity=394.00, yara_score=0.00, total=394.00
MATCH: phishing_mails/211 -> similarity=595.00, yara_score=0.00, total=595.00
MATCH: phishing_mails/212 -> similarity=2514.00, yara_score=0.00, total=2514.00
